x,y,z
332.0,244.0,5706.637
333.0,244.0,5708.3774
334.0,244.0,5710.3516
335.0,244.0,5712.5474
336.0,244.0,5713.971
337.0,244.0,5713.5303
338.0,244.0,5713.088
339.0,244.0,5713.06
340.0,244.0,5712.9062
341.0,244.0,5712.4473
342.0,244.0,5712.237
343.0,244.0,5712.022
344.0,244.0,5711.0684
345.0,244.0,5710.513
346.0,244.0,5710.113
347.0,244.0,5709.9424
348.0,244.0,5711.0557
349.0,244.0,5712.7944
350.0,244.0,5713.914
351.0,244.0,5715.343
352.0,244.0,5716.645
353.0,244.0,5716.899
354.0,244.0,5716.8857
355.0,244.0,5714.3726
356.0,244.0,5710.813
357.0,244.0,5711.631
358.0,244.0,5711.3584
359.0,244.0,5710.809
360.0,244.0,5712.907
361.0,244.0,5712.4023
362.0,244.0,5712.5093
363.0,244.0,5716.9683
364.0,244.0,5711.5117
365.0,244.0,5707.363
366.0,244.0,5712.1646
367.0,244.0,5713.1963
368.0,244.0,5711.585
369.0,244.0,5711.429
370.0,244.0,5706.456
371.0,244.0,5705.503
372.0,244.0,5714.0435
373.0,244.0,5726.404
374.0,244.0,5734.287
375.0,244.0,5735.8257
376.0,244.0,5726.4907
377.0,244.0,5711.135
378.0,244.0,5705.6533
379.0,244.0,5705.724
380.0,244.0,5707.3613
381.0,244.0,5710.0547
382.0,244.0,5711.3267
383.0,244.0,5711.5327
384.0,244.0,5711.537
385.0,244.0,5711.5864
386.0,244.0,5712.6157
387.0,244.0,5713.99
388.0,244.0,5713.547
389.0,244.0,5714.031
390.0,244.0,5713.6777
391.0,244.0,5713.075
392.0,244.0,5712.269
393.0,244.0,5711.844
394.0,244.0,5711.5723
395.0,244.0,5711.858
396.0,244.0,5711.8716
397.0,244.0,5711.5576
398.0,244.0,5711.3184
399.0,244.0,5711.7886
400.0,244.0,5712.171
401.0,244.0,5711.204
402.0,244.0,5709.7827
403.0,244.0,5711.2876
404.0,244.0,5713.245
405.0,244.0,5715.2983
406.0,244.0,5715.511
407.0,244.0,5715.2256
408.0,244.0,5714.9014
409.0,244.0,5715.0874
410.0,244.0,5713.454
411.0,244.0,5712.1006
412.0,244.0,5714.897
413.0,244.0,5716.846
414.0,244.0,5716.376
415.0,244.0,5715.2876
416.0,244.0,5714.805
417.0,244.0,5713.991
418.0,244.0,5711.213
419.0,244.0,5709.5933
420.0,244.0,5707.6533
421.0,244.0,5706.8574
422.0,244.0,5706.39
423.0,244.0,5702.86
424.0,244.0,5704.126
425.0,244.0,5706.6987
426.0,244.0,5705.986
427.0,244.0,5705.8604
428.0,244.0,5706.122
429.0,244.0,5705.4146
430.0,244.0,5704.4854
431.0,244.0,5704.7793
432.0,244.0,5706.4526
433.0,244.0,5708.5513
434.0,244.0,5709.0166
435.0,244.0,5708.763
436.0,244.0,5708.2964
437.0,244.0,5706.55
438.0,244.0,5705.291
439.0,244.0,5690.2437
440.0,244.0,5700.408
441.0,244.0,5712.868
442.0,244.0,5718.023
443.0,244.0,5718.436
444.0,244.0,5717.0117
445.0,244.0,5716.303
446.0,244.0,5717.389
447.0,244.0,5716.336
448.0,244.0,5715.962
449.0,244.0,5717.319
450.0,244.0,5717.752
451.0,244.0,5716.458
452.0,244.0,5714.5933
453.0,244.0,5711.982
454.0,244.0,5711.086
455.0,244.0,5711.4673
456.0,244.0,5712.4507
457.0,244.0,5714.1875
458.0,244.0,5715.246
459.0,244.0,5714.8325
460.0,244.0,5713.9365
461.0,244.0,5714.0146
462.0,244.0,5714.474
463.0,244.0,5715.136
464.0,244.0,5719.046
465.0,244.0,5720.4116
466.0,244.0,5718.4897
467.0,244.0,5717.1035
468.0,244.0,5715.0376
469.0,244.0,5714.82
470.0,244.0,5716.425
471.0,244.0,5719.3154
472.0,244.0,5720.054
473.0,244.0,5718.8193
474.0,244.0,5718.409
475.0,244.0,5717.8706
476.0,244.0,5716.397
477.0,244.0,5715.421
478.0,244.0,5716.1694
479.0,244.0,5717.3247
480.0,244.0,5717.75
